,elements,ratio,W(work function),d electron number,local Pauling electronegativity,Ionization potential,d,Pauling electronegativity,group,period,melting point,boiling point,Hfus,
Al0.6Cu3.4(100),,,,,,,,,,,,,,
1,13,0.1765,4.7476,0.795553104,1.851,5.986,1.8268,1.47,13,3,933,2792,10.8,-1.645349
2,13,0.1765,4.7476,0.795553104,1.812,5.986,1.8268,1.47,13,3,933,2792,10.8,-1.202555
3,13,0.1765,4.7476,0.795553104,1.812,5.986,1.8268,1.47,13,3,933,2792,10.8,-1.34307
Al0.6Cu3.4(110),,,,,,,,,,,,,,
1,13,0.1765,4.2484,0.795553104,1.776,5.986,1.29174,1.47,13,3,933,2792,10.8,-1.184505
2,13,0.1765,4.2484,0.795553104,1.791,5.986,1.29174,1.47,13,3,933,2792,10.8,-0.972113
3,13,0.1765,4.2484,0.795553104,1.812,5.986,1.29174,1.47,13,3,933,2792,10.8,-1.18329
4,13,0.1765,4.2484,0.795553104,1.729,5.986,1.29174,1.47,13,3,933,2792,10.8,-1.225909
Al1Cu3(111),,,,,,,,,,,,,,
1,13,0.3333,4.8892,0.756268571,1.9,5.986,3.36018,1.47,13,3,933,2792,10.8,-0.963494
2,13,0.3333,4.8892,0.756268571,1.9,5.986,3.36018,1.47,13,3,933,2792,10.8,-1.451106
3,13,0.3333,4.8892,0.756268571,1.791,5.986,3.36018,1.47,13,3,933,2792,10.8,-1.3378
4,13,0.3333,4.8892,0.756268571,1.9,5.986,3.36018,1.47,13,3,933,2792,10.8,-1.20774
Al1Cu3211,,,,,,,,,,,,,,
1,13,0.3333,4.4293,0.756268571,1.837,5.986,1.118,1.47,13,3,933,2792,10.8,-1.283802
2,13,0.3333,4.4293,0.756268571,1.837,5.986,1.118,1.47,13,3,933,2792,10.8,-0.969817
3,13,0.3333,4.4293,0.756268571,1.791,5.986,1.118,1.47,13,3,933,2792,10.8,-0.971301
4,13,0.3333,4.4293,0.756268571,1.729,5.986,1.118,1.47,13,3,933,2792,10.8,-0.805094
5,13,0.3333,4.4293,0.756268571,1.9,5.986,1.118,1.47,13,3,933,2792,10.8,-0.653207
6,13,0.3333,4.4293,0.756268571,1.688,5.986,1.118,1.47,13,3,933,2792,10.8,-0.483331
Al2Cu(110),,,,,,,,1.47,13,3,933,2792,10.8,
1,13,2,4.1265,0.620543572,1.5,5.986,4.28768,1.47,13,3,933,2792,10.8,-0.466889
2,13,2,4.1265,0.620543572,1.5,5.986,4.28768,1.47,13,3,933,2792,10.8,-0.038468
3,13,2,4.1265,0.620543572,1.649,5.986,4.28768,1.47,13,3,933,2792,10.8,-0.014892
4,13,2,4.1265,0.620543572,1.623,5.986,4.28768,1.47,13,3,933,2792,10.8,0.004774
Al2Cu(211),,,,,,,,,,,,,,
1,13,2,4.1858,0.620543572,1.623,5.986,2.36964,1.47,13,3,933,2792,10.8,-0.616889
2,13,2,4.1858,0.620543572,1.688,5.986,2.36964,1.47,13,3,933,2792,10.8,-1.194414
3,13,2,4.1858,0.620543572,1.591,5.986,2.36964,1.47,13,3,933,2792,10.8,-0.214648
4,13,2,4.1858,0.620543572,1.791,5.986,2.36964,1.47,13,3,933,2792,10.8,-0.305177
Al3Cu2100,,,,,,,,,,,,,,
1,13,1.5,4.5346,0.586805935,1.66,5.986,3.5559,1.47,13,3,933,2792,10.8,-0.675646
2,13,1.5,4.5346,0.586805935,1.717,5.986,3.5559,1.47,13,3,933,2792,10.8,0.119413
3,13,1.5,4.5346,0.586805935,1.729,5.986,3.5559,1.47,13,3,933,2792,10.8,0.007018
4,13,1.5,4.5346,0.586805935,1.649,5.986,3.5559,1.47,13,3,933,2792,10.8,-0.009517
5,13,1.5,4.5346,0.586805935,1.791,5.986,3.5559,1.47,13,3,933,2792,10.8,-0.005949
6,13,1.5,4.5346,0.586805935,1.591,5.986,3.5559,1.47,13,3,933,2792,10.8,0.006955
Cu10Zn(111),,,,,,,,,,,,,,
1,30,0.1,4.5232,0.846921124,1.856,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.585704
3,30,0.1,4.5232,0.846921124,1.9,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.752714
4,30,0.1,4.5232,0.846921124,1.791,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.770171
5,30,0.1,4.5232,0.846921124,1.791,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.631331
6,30,0.1,4.5232,0.846921124,1.9,9.394,2.08715,1.6,12,4,693,1180,7.1,-0.728549
Cu10Zn(100),,,,,,,,,,,,,,
1,30,0.1,4.7594,0.846921124,0.534,9.394,1.80753,1.6,12,4,693,1180,7.1,-1.379964
2,30,0.1,4.7594,0.846921124,1.835,9.394,1.80753,1.6,12,4,693,1180,7.1,-1.40954
Cu1Zn1(100),,,,,,,,,,,,,,
1,30,1,4.2099,0.766841762,1.6659,9.394,2.95,1.6,12,4,693,1180,7.1,-0.759333
2,30,1,4.2099,0.766841762,1.7436,9.394,2.95,1.6,12,4,693,1180,7.1,-1.06168
Cu1Zn1(110),,,,,,,,,,,,,,
1,30,1,4.4656,0.766841762,1.85,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.052265
2,30,1,4.4656,0.766841762,1.503125,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.4349275
3,30,1,4.4656,0.766841762,1.7942,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.4349275
4,30,1,4.4656,0.766841762,1.694,9.394,2.08597,1.6,12,4,693,1180,7.1,-0.074948
Cu1Zn1(211),,,,,,,,,,,,,,
1,30,1,4.3136,0.766841762,1.722,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.975699
3,30,1,4.3136,0.766841762,1.82,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.97617
4,30,1,4.3136,0.766841762,1.82,9.394,1.20433,1.6,12,4,693,1180,7.1,0.097483
5,30,1,4.3136,0.766841762,1.7299,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.3418228
6,30,1,4.3136,0.766841762,1.757,9.394,1.20433,1.6,12,4,693,1180,7.1,-0.003578
Cu1Zn2(100),,,,,,,,,,,,,,
1,30,2,4.5527,0.729266941,1.6,9.394,3.70266,1.6,12,4,693,1180,7.1,0.045019
2,30,2,4.5527,0.729266941,1.6,9.394,3.70266,1.6,12,4,693,1180,7.1,0.001179
3,30,2,4.5527,0.729266941,1.703,9.394,3.70266,1.6,12,4,693,1180,7.1,0.004885
Cu1Zn2(110),,,,,,,,,,,,,,
1,30,2,4.3969,0.729266941,1.7065,9.394,2.1375,1.6,12,4,693,1180,7.1,-1.561387
2,30,2,4.3969,0.729266941,1.662,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.628277
3,30,2,4.3969,0.729266941,1.67,9.394,2.1375,1.6,12,4,693,1180,7.1,-1.358036
4,30,2,4.3969,0.729266941,1.67,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.627516
5,30,2,4.3969,0.729266941,1.694,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.11828
6,30,2,4.3969,0.729266941,1.964,9.394,2.1375,1.6,12,4,693,1180,7.1,-0.713687
Cu1Sn1(101),,,,,,,,,,,,,,
1,50,1,4.0594,0.777881207,1.833,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.36157
2,50,1,4.0594,0.777881207,1.866,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.04157
3,50,1,4.0594,0.777881207,1.849,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.05757
4,50,1,4.0594,0.777881207,1.839,7.3439,2.9596,1.8,14,5,505,2875,7.2,0.00943
5,50,1,4.0594,0.777881207,1.839,7.3439,2.9596,1.8,14,5,505,2875,7.2,-0.01257
Cu3Sn1(100),,,,,,,,,,,,,,
1,50,0.3333,4.0172,0.85185406,1.889,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.20777
2,50,0.3333,4.0172,0.85185406,1.855,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.82577
3,50,0.3333,4.0172,0.85185406,1.874,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.98577
4,50,0.3333,4.0172,0.85185406,1.84,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.98677
5,50,0.3333,4.0172,0.85185406,1.859,7.3439,3.0588,1.8,14,5,505,2875,7.2,-0.14777
Cu3Sn1(110),,,,,,,,,,,,,,
1,50,0.3333,4.9853,0.85185406,1.866,7.3439,2.1629,1.8,14,5,505,2875,7.2,-1.33577
2,50,0.3333,4.9853,0.85185406,1.85,7.3439,2.1629,1.8,14,5,505,2875,7.2,0.80623
3,50,0.3333,4.9853,0.85185406,1.88,7.3439,2.1629,1.8,14,5,505,2875,7.2,-1.33567
4,50,0.3333,4.9853,0.85185406,1.88,7.3439,2.1629,1.8,14,5,505,2875,7.2,-1.03747
5,50,0.3333,4.9853,0.85185406,1.859,7.3439,2.1629,1.8,14,5,505,2875,7.2,0.43663
Cu3Sn1(211),,,,,,,,,,,,,,
1,50,0.3333,4.4548,0.85185406,1.885,7.3439,1.84785,1.8,14,5,505,2875,7.2,0.00281722
2,50,0.3333,4.4548,0.85185406,1.859,7.3439,1.84785,1.8,14,5,505,2875,7.2,-0.21288278
3,50,0.3333,4.4548,0.85185406,1.849,7.3439,1.84785,1.8,14,5,505,2875,7.2,-0.22408278
4,50,0.3333,4.4548,0.85185406,1.9,7.3439,1.84785,1.8,14,5,505,2875,7.2,-0.92028278
Cu0.85ga0.15(110),,,,,,,,,,,,,,
1,31,0.1765,4.3593,0.817669845,1.9,5.9993,1.29305,1.6,13,4,303,2477,5.6,1.11213
2,31,0.1765,4.3593,0.817669845,1.854,5.9993,1.29305,1.6,13,4,303,2477,5.6,-0.05167
3,31,0.1765,4.3593,0.817669845,1.9,5.9993,1.29305,1.6,13,4,303,2477,5.6,-0.40217
4,31,0.1765,4.3593,0.817669845,1.82,5.9993,1.29305,1.6,13,4,303,2477,5.6,-0.91614
5,31,0.1765,4.3593,0.817669845,1.9,5.9993,1.29305,1.6,13,4,303,2477,5.6,-0.89687
6,31,0.1765,4.3593,0.817669845,1.836,5.9993,1.29305,1.6,13,4,303,2477,5.6,-0.92007
Cu11in9(020),,,,,,,,1.7,13,5,430,2345,3.3,
1,49,0.8182,4.2874,0.835302294,1.808,5.7864,2.17715,1.7,13,5,430,2345,3.3,-1.31637
2,49,0.8182,4.2874,0.835302294,1.817,5.7864,2.17715,1.7,13,5,430,2345,3.3,0.05633
3,49,0.8182,4.2874,0.835302294,1.817,5.7864,2.17715,1.7,13,5,430,2345,3.3,-0.96597
Cu11In9(201),49,0.8182,,,,,,1.7,13,5,430,2345,3.3,
1,49,0.8182,4.2645,0.835302294,1.755,5.7864,6.03426,1.7,13,5,430,2345,3.3,-0.07217
2,49,0.8182,4.2645,0.835302294,1.748,5.7864,6.03426,1.7,13,5,430,2345,3.3,-0.07727
Cu9In4(111),49,0.4444,,,,,,1.7,13,5,430,2345,3.3,
1,49,0.4444,4.2733,0.867689809,1.777,5.7864,5.25216,1.7,13,5,430,2345,3.3,-0.96857
2,49,0.4444,4.2733,0.867689809,1.848,5.7864,5.25216,1.7,13,5,430,2345,3.3,-0.01027
3,49,0.4444,4.2733,0.867689809,1.9,5.7864,5.25216,1.7,13,5,430,2345,3.3,-0.37587
4,49,0.4444,4.2733,0.867689809,1.797,5.7864,5.25216,1.7,13,5,430,2345,3.3,-1.02767
Cu9In4(210),,,,,,,,,,,,,,
1,49,0.4444,4.4411,0.867689809,1.858,5.7864,4.0683,1.7,13,5,430,2345,3.3,-0.00617
2,49,0.4444,4.4411,0.867689809,1.797,5.7864,4.0683,1.7,13,5,430,2345,3.3,-0.77967
3,49,0.4444,4.4411,0.867689809,1.812,5.7864,4.0683,1.7,13,5,430,2345,3.3,-0.77967
4,49,0.4444,4.4411,0.867689809,1.764,5.7864,4.0683,1.7,13,5,430,2345,3.3,0.24453
5,49,0.4444,4.4411,0.867689809,1.831,5.7864,4.0683,1.7,13,5,430,2345,3.3,-0.67547
au1cu1,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,79,1,4.6537,1.378110438,2.162,9.23,1.936,2.54,11,6,1337,3129,12.7,-0.830927
2,79,1,4.6537,1.378110438,2.014,9.23,1.936,2.54,11,6,1337,3129,12.7,-0.611767
110+co,79,1,0,1.378110438,,9.23,,2.54,11,6,1337,3129,12.7,14.796
1,79,1,4.7765,1.378110438,2.243,9.23,1.36896,2.54,11,6,1337,3129,12.7,-0.855019
2,79,1,4.7765,1.378110438,2.152,9.23,1.36896,2.54,11,6,1337,3129,12.7,-0.513293
3,79,1,4.7765,1.378110438,2.043,9.23,1.36896,2.54,11,6,1337,3129,12.7,0.830629
4,79,1,4.7765,1.378110438,2.362,9.23,1.36896,2.54,11,6,1337,3129,12.7,-0.438806
5,79,1,4.7765,1.378110438,2.243,9.23,1.36896,2.54,11,6,1337,3129,12.7,0.832715
6,79,1,4.7765,1.378110438,2.152,9.23,1.36896,2.54,11,6,1337,3129,12.7,0.002682
au3cu,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,79,3,4.8136,1.58616861,2.381,9.23,3.98,2.54,11,6,1337,3129,12.7,0.095753
2,79,3,4.8136,1.58616861,2.54,9.23,3.98,2.54,11,6,1337,3129,12.7,0.115487
111+co,79,3,0,1.58616861,,9.23,,2.54,11,6,1337,3129,12.7,
1,79,3,4.8342,1.58616861,2.36,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.08626
2,79,3,4.8342,1.58616861,2.328,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.080325
3,79,3,4.8342,1.58616861,2.467,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.082066
aucu3,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,79,0.33333,4.5502,1.135052307,2.381,9.23,1.99,2.54,11,6,1337,3129,12.7,0.156834
2,79,0.33333,4.5502,1.135052307,1.9,9.23,1.99,2.54,11,6,1337,3129,12.7,0.081966
110+co,,,,,,,,,,,,,,
1,79,0.33333,4.5946,1.135052307,2.338,9.23,2.81429,2.54,11,6,1337,3129,12.7,0.123343
2,79,0.33333,4.5946,1.135052307,1.9,9.23,2.81429,2.54,11,6,1337,3129,12.7,0.125272
3,79,0.33333,4.5946,1.135052307,2.014,9.23,2.81429,2.54,11,6,1337,3129,12.7,0.131478
4,79,0.33333,4.5946,1.135052307,2.197,9.23,2.81429,2.54,11,6,1337,3129,12.7,0.11228
111+co,,,,,,,,,,,,,,
1,79,0.33333,4.7827,1.135052307,2.014,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.078764
2,79,0.33333,4.7827,1.135052307,1.956,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.118974
3,79,0.33333,4.7827,1.135052307,2.064,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.087764
4,79,0.33333,4.7827,1.135052307,2.064,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.078126
5,79,0.33333,4.7827,1.135052307,2.073,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.100648
6,79,0.33333,4.7827,1.135052307,1.956,9.23,2.29785,2.54,11,6,1337,3129,12.7,0.077465
cu1pd1,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,46,1,5.1739,0.748895379,2.061,8.34,1.883,2.2,10,5,1828,3236,16.7,0.131982
111+co,46,1,0,0.748895379,,8.34,,2.2,10,5,1828,3236,16.7,
1,46,1,4.9503,0.748895379,2.015,8.34,1.08715,2.2,10,5,1828,3236,16.7,0.102167
2,46,1,4.9503,0.748895379,2.075,8.34,1.08715,2.2,10,5,1828,3236,16.7,0.114365
3,46,1,4.9503,0.748895379,2.023,8.34,1.08715,2.2,10,5,1828,3236,16.7,0.114453
cu3pd,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,46,0.33333,4.8786,0.799824039,2.028,8.34,3.697,2.2,10,5,1828,3236,16.7,0.152177
2,46,0.33333,4.8786,0.799824039,1.931,8.34,3.697,2.2,10,5,1828,3236,16.7,0.087283
111+co,46,0.33333,0,0.799824039,,8.34,,2.2,10,5,1828,3236,16.7,
1,46,0.33333,4.9985,0.799824039,1.985,8.34,2.127,2.2,10,5,1828,3236,16.7,0.088599
2,46,0.33333,4.9985,0.799824039,1.957,8.34,2.127,2.2,10,5,1828,3236,16.7,0.099294
cu1pt1,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,78,1,5.464,1.410610015,2.103,9,1.88845,2.28,10,6,2042,4098,22.2,0.114356
2,78,1,5.464,1.410610015,2.06,9,1.88845,2.28,10,6,2042,4098,22.2,0.104001
111+co,78,1,0,1.410610015,,9,,2.28,10,6,2042,4098,22.2,
1,78,1,5.3126,1.410610015,2.044,9,1.0903,2.28,10,6,2042,4098,22.2,0.124312
2,78,1,5.3126,1.410610015,2.12,9,1.0903,2.28,10,6,2042,4098,22.2,0.140854
3,78,1,5.3126,1.410610015,2.081,9,1.0903,2.28,10,6,2042,4098,22.2,0.122816
Cu1Ni1,,,,,,,,,,,,,,
100+CO,,,,,,,,,,,,,,
1,28,1,4.6929,0.396943316,1.9055,7.64,1.783,1.91,10,4,1728,3186,17,
2,28,1,4.6929,0.396943316,1.908,7.64,1.783,1.91,10,4,1728,3186,17,-1.0031856
110+CO,28,1,,0.396943316,,7.64,,1.91,10,4,1728,3186,17,
1,28,1,4.4776,0.396943316,1.906,7.64,1.26,1.91,10,4,1728,3186,17,-0.9528124
2,28,1,4.4776,0.396943316,1.9043,7.64,1.26,1.91,10,4,1728,3186,17,-1.7430464
3,28,1,4.4776,0.396943316,1.9075,7.64,1.26,1.91,10,4,1728,3186,17,-1.7324064
cu3.8ni0.2,,,,,,,,,,,,,,
110+co,,,,,,,,,,,,,,
1,28,0.0526,4.4026,4.234998257,1.9014,7.64,1.27368,1.91,10,4,1728,3186,17,-0.98228216
2,28,0.0526,4.4026,4.234998257,1.902,7.64,1.27368,1.91,10,4,1728,3186,17,-1.30884116
111+co,28,0.0526,0,4.234998257,,7.64,,1.91,10,4,1728,3186,17,
1,28,0.0526,4.9045,4.234998257,1.901,7.64,1.03995,1.91,10,4,1728,3186,17,-0.33710584
2,28,0.0526,4.9045,4.234998257,1.901,7.64,1.03995,1.91,10,4,1728,3186,17,-1.29736484
cu0.32ni3.68,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,28,11.5,4.6117,4.653537729,1.9089,7.64,1.763,1.91,10,4,1728,3186,17,-1.70278328
2,28,11.5,4.6117,4.653537729,1.9089,7.64,1.763,1.91,10,4,1728,3186,17,-0.87619228
3,28,11.5,4.6117,4.653537729,1.908,7.64,1.763,1.91,10,4,1728,3186,17,-1.76636128
111+co,28,11.5,0,4.653537729,,7.64,,1.91,10,4,1728,3186,17,
1,28,11.5,5.1016,4.653537729,1.908,7.64,2.03574,1.91,10,4,1728,3186,17,-1.93093794
2,28,11.5,5.1016,4.653537729,1.9075,7.64,2.03574,1.91,10,4,1728,3186,17,-1.91704594
3,28,11.5,5.1016,4.653537729,1.9075,7.64,2.03574,1.91,10,4,1728,3186,17,-1.93189194
CuFe,,,,,,,,,,,,,,
Cu0.3Fe1.7,,,,,,,,,,,,,,
100+co,,,,,,,,,,,,,,
1,26,5.66667,3.91,5.520064284,1.8108,7.9,1.4405,1.8,8,4,1811,3134,13.8,-1.52438276
2,26,5.66667,3.91,5.520064284,1.8195,7.9,1.4405,1.8,8,4,1811,3134,13.8,-1.51967544
3,26,5.66667,3.91,5.520064284,1.824,7.9,1.4405,1.8,8,4,1811,3134,13.8,-1.25534846
110+co,26,5.66667,0,5.520064284,,7.9,,,8,4,1811,3134,13.8,
1,26,5.66667,4.6715,5.520064284,1.818,7.9,1.01859,1.8,8,4,1811,3134,13.8,-1.80462339
2,26,5.66667,4.6715,5.520064284,1.818,7.9,1.01859,1.8,8,4,1811,3134,13.8,-0.89319607
3,26,5.66667,4.6715,5.520064284,1.839,7.9,1.01859,1.8,8,4,1811,3134,13.8,-1.72772705
Cu4Fe,,,,,,,,,,,,,,
111+co,,,,,,,,,,,,,,
1,26,0.25,4.9023,0.970975065,1.8796,7.9,1.04454,1.8,8,4,1811,3134,13.8,-1.82461451
2,26,0.25,4.9023,0.970975065,1.8854,7.9,1.04454,1.8,8,4,1811,3134,13.8,-1.82502533
CuIr,,,,,,,,,,,,,,
Cu0.95ir0.05,,,,,,,,,,,,,,
100+CO,,,,,,,,,,,,,,
1,77,0.05,4.4558,0.908,1.8575,8.97,1.8145,1.55,9,6,2719,4701,41.1,-0.789846
2,77,0.05,4.4558,0.908,1.8575,8.97,1.8145,1.55,9,6,2719,4701,41.1,-2.296926
3,77,0.05,4.4558,0.908,1.8575,8.97,1.8145,1.55,9,6,2719,4701,41.1,-0.793714
110+co,77,0.05,0,0.908,,8.97,,1.55,9,6,2719,4701,41.1,
1,77,0.05,4.4689,0.908,1.845,8.97,1.28305,1.55,9,6,2719,4701,41.1,-1.099708
2,77,0.05,4.4689,0.908,1.845,8.97,1.28305,1.55,9,6,2719,4701,41.1,-2.392879
111+co,77,0.05,0,0.908,,8.97,,1.55,9,6,2719,4701,41.1,
1,77,0.05,4.9903,0.908,1.9,8.97,1.0476,1.55,9,6,2719,4701,41.1,-0.409247
2,77,0.05,4.9903,0.908,1.8617,8.97,1.0476,1.55,9,6,2719,4701,41.1,-2.211555
3,77,0.05,4.9903,0.908,1.824,8.97,1.0476,1.55,9,6,2719,4701,41.1,-2.211472
CuRh,,,,,,,,,,,,,,
Cu1Rh1,,,,,,,,,,,,,,
110+co,,,,,,,,,,,,,,
1,45,1,4.6916,1.1055,1.801,7.46,1.30815,1.73,9,5,2237,3968,26.6,-2.177171
2,45,1,4.6916,1.1055,1.825,7.46,1.30815,1.73,9,5,2237,3968,26.6,-2.177675
111+co,,,,,,,,,,,,,,
1,45,1,4.9259,1.1055,1.83,7.46,2.1362,1.73,9,5,2237,3968,26.6,-1.855816
2,45,1,4.9259,1.1055,1.796,7.46,2.1362,1.73,9,5,2237,3968,26.6,-1.934311
